Date,Open,High,Low,Close,Adj Close,Volume
2021-08-06,109.510002,110.580002,109.510002,109.930000,108.756874,19500
2021-08-09,110.410004,110.410004,107.010002,109.449997,108.281998,20400
2021-08-10,107.849998,108.559998,107.750000,108.529999,107.371819,46500
2021-08-11,108.190002,108.419998,107.839996,108.199997,107.045334,18200
2021-08-12,105.269997,107.260002,105.269997,107.010002,105.868034,22000
2021-08-13,110.160004,110.160004,109.250000,109.769997,108.598572,25900
2021-08-16,109.099998,109.540001,108.989998,109.500000,108.331467,24600
2021-08-17,107.470001,108.209999,107.470001,108.070000,106.916725,49100
2021-08-18,104.129997,106.830002,104.129997,105.889999,104.759987,28800
2021-08-19,108.959999,108.959999,107.970001,108.169998,107.015656,49300
2021-08-20,108.169998,109.500000,108.169998,109.330002,108.163277,88400
2021-08-23,109.250000,110.680000,109.250000,110.650002,109.469185,32300
2021-08-24,111.940002,112.580002,110.910004,112.209999,111.012543,41700
2021-08-25,113.449997,113.910004,113.370003,113.910004,112.694405,26700
2021-08-26,111.949997,112.080002,111.550003,111.660004,110.468414,25600
2021-08-27,112.199997,114.339996,112.199997,114.000000,112.783440,27200
2021-08-30,114.959999,114.959999,113.209999,113.629997,112.417389,29400
2021-08-31,114.150002,114.220001,113.570000,113.989998,112.773552,30400
2021-09-01,113.129997,113.739998,113.059998,113.510002,112.882942,23700
2021-09-02,114.459999,114.459999,112.269997,112.449997,111.828789,29500
2021-09-03,113.610001,113.610001,112.120003,113.000000,112.375755,19200
2021-09-07,112.540001,114.750000,112.540001,114.559998,113.927139,22000
2021-09-08,114.599998,114.599998,113.919998,113.919998,113.290672,26900
2021-09-09,113.129997,113.489998,112.690002,112.800003,112.176865,19300
2021-09-10,111.919998,111.919998,110.800003,110.839996,110.227684,31900
2021-09-13,111.730003,111.730003,110.980003,111.660004,111.043159,24400
2021-09-14,110.199997,110.269997,109.510002,109.510002,108.905037,23200
2021-09-15,114.620003,114.620003,111.580002,112.580002,111.958076,20700
2021-09-16,113.010002,113.010002,112.129997,112.529999,111.908348,46700
2021-09-17,113.959999,113.959999,111.879997,112.339996,111.719398,29100
2021-09-20,110.879997,110.879997,109.519997,110.410004,109.800072,46300
2021-09-21,112.900002,113.139999,112.180000,112.480003,111.858635,39100
2021-09-22,113.470001,114.110001,113.129997,113.290001,112.664154,34900
2021-09-23,117.230003,117.230003,113.519997,114.199997,113.569122,54300
2021-09-24,113.070000,113.160004,112.629997,112.879997,112.256416,28900
2021-09-27,110.849998,111.220001,110.849998,111.000000,110.386803,25500
2021-09-28,107.559998,107.559998,106.349998,106.750000,106.160286,98200
2021-09-29,105.080002,105.080002,103.480003,103.800003,103.226585,39700
2021-09-30,107.750000,107.750000,104.550003,104.690002,104.111664,35700
2021-10-01,105.080002,105.300003,104.500000,105.230003,104.648682,33800
2021-10-04,104.650002,104.699997,103.730003,104.220001,103.644264,40500
2021-10-05,104.239998,105.669998,104.239998,105.290001,104.708351,40800
2021-10-06,103.989998,104.589996,103.550003,104.570000,103.992325,36400
2021-10-07,106.180000,106.199997,105.209999,105.680000,105.096191,33200
2021-10-08,106.430000,106.510002,106.040001,106.120003,105.533768,24100
2021-10-11,106.540001,106.540001,105.300003,105.500000,104.917191,22600
2021-10-12,108.040001,108.190002,107.720001,108.080002,107.482941,21500
2021-10-13,108.519997,108.919998,108.339996,108.760002,108.159180,17600
2021-10-14,110.620003,110.699997,110.480003,110.540001,109.929344,33000
2021-10-15,110.489998,111.519997,110.260002,111.260002,110.645370,74200
2021-10-18,110.139999,110.139999,108.639999,109.099998,108.497299,61800
2021-10-19,109.750000,111.750000,109.750000,111.750000,111.132660,38600
2021-10-20,111.589996,112.389999,111.589996,112.330002,111.709457,39700
2021-10-21,111.400002,111.400002,110.260002,110.430000,109.819954,33400
2021-10-22,111.779999,111.779999,110.500000,111.000000,110.386803,20000
2021-10-25,111.059998,111.320000,110.669998,111.199997,110.585701,34400
2021-10-26,112.419998,112.419998,111.099998,111.779999,111.162498,30700
2021-10-27,113.419998,113.419998,112.129997,112.730003,112.107254,24800
2021-10-28,113.930000,113.930000,112.540001,113.529999,112.902824,31900
2021-10-29,113.419998,113.690002,113.160004,113.669998,113.042053,23200
2021-11-01,113.870003,115.860001,113.870003,115.690002,115.050896,30300
2021-11-02,115.900002,117.239998,115.230003,115.360001,114.722717,30800
2021-11-03,115.860001,116.349998,115.199997,116.349998,115.707253,22700
2021-11-04,115.529999,115.690002,115.260002,115.449997,114.812218,18900
2021-11-05,116.400002,116.839996,116.349998,116.419998,115.776863,20300
2021-11-08,116.099998,116.529999,115.730003,115.730003,115.090675,24100
2021-11-09,115.889999,116.739998,115.379997,116.739998,116.095093,34100
2021-11-10,116.169998,117.040001,115.029999,115.029999,114.394539,24600
2021-11-11,112.599998,112.599998,112.110001,112.250000,111.629898,24900
2021-11-12,112.190002,112.800003,112.190002,112.559998,111.938187,23000
2021-11-15,113.830002,113.860001,113.010002,113.540001,112.912773,19300
2021-11-16,112.610001,112.769997,112.480003,112.480003,111.858635,26900
2021-11-17,113.500000,113.500000,112.239998,112.449997,111.828789,26400
2021-11-18,114.589996,114.589996,113.110001,113.970001,113.340401,38500
2021-11-19,114.449997,115.339996,113.720001,114.050003,113.419960,79000
2021-11-22,113.239998,114.699997,113.239998,114.220001,113.589020,29200
2021-11-23,114.750000,114.839996,114.190002,114.430000,113.797859,31700
2021-11-24,112.800003,114.580002,112.800003,114.000000,113.370232,30100
2021-11-26,114.849998,114.849998,110.129997,110.809998,110.197853,30800
2021-11-29,111.849998,111.849998,109.019997,109.870003,109.263054,37900
2021-11-30,112.040001,112.040001,105.989998,109.419998,108.815529,49900
2021-12-01,109.120003,111.279999,109.120003,109.800003,109.193436,42400
2021-12-02,106.639999,109.739998,106.639999,108.800003,108.198959,41200
2021-12-03,105.959999,106.550003,104.459999,104.610001,104.032104,33100
2021-12-06,106.010002,106.010002,104.580002,105.150002,104.569122,43600
2021-12-07,105.000000,108.129997,105.000000,107.820000,107.224373,63100
2021-12-08,112.059998,112.059998,108.480003,109.330002,108.726036,24000
2021-12-09,107.320000,110.699997,107.320000,108.300003,107.701721,34800
2021-12-10,110.750000,110.750000,105.790001,106.589996,106.001167,40600
2021-12-13,106.709999,106.709999,105.370003,105.470001,104.887352,30300
2021-12-14,101.750000,101.750000,100.199997,100.349998,99.795639,85500
2021-12-15,99.699997,101.709999,97.500000,100.629997,100.074089,44500
2021-12-16,100.870003,100.870003,97.720001,98.400002,97.856415,71400
2021-12-17,98.250000,98.250000,96.050003,97.980003,97.438736,55800
2021-12-20,100.000000,100.000000,97.129997,97.410004,96.871887,72800
2021-12-21,102.970001,103.720001,101.800003,102.349998,101.784592,106700
2021-12-22,105.410004,105.410004,104.190002,105.300003,104.718300,48100
2021-12-23,105.099998,105.970001,105.099998,105.639999,105.056412,43800
2021-12-27,105.099998,106.199997,105.099998,105.870003,105.285149,45500
2021-12-28,105.120003,105.980003,105.120003,105.660004,105.076309,22900
2021-12-29,107.230003,107.230003,105.739998,105.870003,105.285149,29500
2021-12-30,106.489998,106.489998,105.650002,106.080002,105.493988,58900
2021-12-31,105.440002,107.000000,105.440002,105.800003,105.215538,29900
2022-01-03,105.099998,106.250000,104.580002,104.739998,104.161385,52500
2022-01-04,108.000000,108.000000,105.250000,107.120003,106.528244,56400
2022-01-05,104.739998,107.110001,104.639999,104.639999,104.061935,36600
2022-01-06,103.750000,103.750000,99.459999,101.790001,101.227684,37500
2022-01-07,101.989998,102.279999,101.000000,101.129997,100.571327,45300
2022-01-10,99.459999,100.320000,99.349998,100.320000,99.765800,65700
2022-01-11,99.910004,101.110001,99.709999,101.029999,100.471878,57500
2022-01-12,102.489998,103.230003,101.849998,102.750000,102.182381,41500
2022-01-13,101.779999,102.919998,101.629997,102.089996,101.526024,57800
2022-01-14,99.529999,101.660004,99.519997,99.760002,99.208900,73300
2022-01-18,99.339996,99.339996,97.760002,98.180000,97.637627,115600
2022-01-19,97.959999,98.339996,96.919998,97.879997,97.339279,113500
2022-01-20,98.160004,98.660004,97.209999,97.529999,96.991219,113300
2022-01-21,96.849998,96.849998,93.930000,94.629997,94.107231,118000
2022-01-24,91.629997,93.150002,90.519997,92.910004,92.396744,143600
2022-01-25,92.889999,93.230003,90.099998,93.220001,92.705025,98000
2022-01-26,92.250000,93.349998,91.540001,93.059998,92.545906,103000
2022-01-27,90.099998,91.250000,88.550003,88.879997,88.389000,181800
2022-01-28,88.260002,90.169998,88.260002,89.559998,89.065247,82300
2022-01-31,89.050003,92.500000,89.050003,92.470001,91.959167,83600
2022-02-01,90.500000,93.830002,90.500000,93.360001,92.844254,83700
2022-02-02,91.900002,95.250000,91.900002,93.720001,93.202263,37800
2022-02-03,91.660004,91.699997,90.690002,90.690002,90.189003,57300
2022-02-04,92.099998,92.099998,90.449997,91.309998,90.805573,64300
2022-02-07,90.699997,91.769997,90.480003,90.559998,90.059715,42900
2022-02-08,90.080002,92.019997,90.080002,91.949997,91.442039,73200
2022-02-09,88.550003,91.930000,88.550003,91.930000,91.422150,53100
2022-02-10,91.959999,92.379997,90.430000,90.580002,90.079613,59800
2022-02-11,88.050003,91.129997,87.180000,87.410004,86.927124,108100
2022-02-14,88.059998,88.059998,85.070000,85.559998,85.087341,183500
2022-02-15,85.739998,86.970001,85.730003,86.500000,86.022148,122300
2022-02-16,92.940002,94.849998,92.940002,94.500000,93.977959,309300
2022-02-17,99.150002,99.150002,96.800003,97.440002,96.901718,420600
2022-02-18,95.370003,95.529999,94.129997,95.239998,94.713867,79300
2022-02-22,95.290001,96.989998,94.839996,96.470001,95.937073,89200
2022-02-23,98.419998,98.419998,95.639999,95.860001,95.330444,65600
2022-02-24,91.250000,97.160004,91.250000,95.860001,95.330444,71500
2022-02-25,94.599998,96.099998,94.599998,96.099998,95.569115,72400
2022-02-28,94.709999,95.099998,93.760002,94.910004,94.385696,146000
2022-03-01,98.199997,98.199997,93.879997,94.339996,93.818832,134700
2022-03-02,98.099998,98.099998,92.709999,95.449997,94.922707,119100
2022-03-03,94.449997,95.290001,93.919998,94.129997,93.610001,91500
2022-03-04,97.239998,97.239998,93.370003,95.550003,95.550003,85300
2022-03-07,95.099998,95.099998,91.250000,91.610001,91.610001,105600
2022-03-08,90.510002,94.529999,90.510002,93.150002,93.150002,115200
2022-03-09,95.000000,96.010002,93.889999,94.419998,94.419998,89100
2022-03-10,95.480003,96.400002,95.010002,96.300003,96.300003,79800
2022-03-11,94.419998,96.139999,93.639999,93.739998,93.739998,41500
